Ürün İsmi,Fiyat
Carrefour Hindi Füme 50 G,17.95
Apikoğlu Dana Pastırma (Parça) 80 g,144.9
Namet 7/24 Hindi Füme 60 G,22.0
Carrefour Hindi Salam 50 G,14.5
Carrefour Dana Macar Salam 50 G,25.5
Namet 7/24 Hindi Salam 60 G,17.6
Apikoğlu Parmak Fermente Sucuk 200 Gr,199.89999999999998
Pınar Sucuk Mangal Keyfi 300 Gr,119.9
Sultan Isıl İşlem Görmüş Kangal Sucuk 200 Gr,89.9
Namet Kangal Sucuk 200 Gr,218.5
Banvit Jumbo Sosis 4'lü 330 G,68.0
Namet 7/24 Dana Macar Salam 60 G,34.85
Pınar Aç Bitir Salam 75 Gr,30.5
Pınar Aç Bitir Büyük Dilim Hindi Salam 60 G,27.9
Pınar Aç-Bitir Kokteyl Sosis 180 G,50.5
Polonez Hindi Jambon 50 Gr,32.9
Sultan Doğalköy Açık Kangal Sucuk Kg,399.9
Sultan Dilimli Kavurma 100 Gr,99.9
Beşler Kokteyl Piliç Sosis 220 G,58.5
Namet Piliç Füme 7/24 50 G,25.5
Banvit Kokteyl Sosis Kg,125.0
Erşan Vakumlu Kangal Sucuk 200 Gr,135.0
Namet Dana Jambon 60 g,62.5
Carrefour Dana Kavurma 150 G,125.0
Namet Piliç Jambon 50 G,25.25
Maret Hindi Füme 110 G,59.9
Aytaç Şipşak Hindi Füme Dilimli Salam 60 G,30.5
Pınar Gurme Sucuk 250 G,259.9
Carrefour Isıl İşlem Görmüş Sucuk 200 Gr,108.0
Erşan Dana Kavurma 90 g,98.0
Pınar Doyum Salam 700 Gr,166.75
Namet Hindi Fıstıklı Salam 7/24 50 G,38.5
Maret Pratik Macar Salam 50 G,34.9
Pınar Sosis 430 G 10'lu,275.9
Carrefour Çemeni Sıyrılmış Dana Pastırma 120 G,171.9
Banvit Piliç Macar Salam 250 G,38.0
Polonez Piliç Füme 50 Gr,25.9
Erşan Dana Antrikot Füme 100 g,165.0
Pınar Aç Bitir Hindi Fıstıklı Salam 50 g,29.0
Pınar Klasik Sucuk 225 Gr,195.9
Aytaç Dana Kangal Sucuk 220 G,209.25
Namet Hindi Füme Paket 200 Gr,88.0
Namet Dilimli Jambon Tavuk 150 G,70.5
Banvit Piliç Baton Sucuk 450 G,104.25
Maret 10'lu Soyulmuş Sosis 432 G,279.0
Pınar Minik Sosis 215 Gr,165.9
Polonez Kangal Sucuk 180 G,189.9
Polonez Tütsülenmiş Piliç Jumbo Sosis  320 Gr,89.9
Dana Kangal Sucuk 200 g,186.9
Namet Dana Kavurma Kare Kg,899.9000000000001
Cumhuriyet Kangal Sucuk Kg,1195.0
Apikoğlu Dana Kangal Sucuk Kg,1199.9
Namet Dana Karabiberli-Fıstıklı Salam Kg,899.9
Namet Dana Dilimli Kavurma 200 Gr,355.9
Polonez Hindi Füme Dilimli 150 G,79.5
Pınar Uzun Hindi Sosis 430 G,115.9
Polonez Hindi Şişlik Sosis 500 Gr,179.9
Maret Pratik Hindi Salam 60 G,24.5
Maret 5'li Sosis 240 G,170.0
Maret Hindi Sosis 140 G,39.9
Aytaç Kasap Isıl İşlem Görmiş Piliç Sucuk 300 Gr,158.9
Polonez Dana Macar Salam 50 Gr,48.9
Polonez Dana Jambon 50 Gr,62.9
Polonez Dana Fıstıklı Salam 90 Gr,138.5
Polonez Hindi Parça Etli Salam 50 Gr,29.9
Beşler Bi Lokma Hindi Füme 55 g,32.75
Beşler Bi Lokma Dana Jambon 50 G,49.5
Apikoğlu Seçme Pastırma 90 G,212.9
Riva Tibers Kaşarlı Hindi Fümeli Sandviç 145 g,82.75
Erşan Dilimli Secme Pastırma 120 G,149.0
Erşan Et Dana 400 Gr Sosis,189.0
Namet Hindi Kokteyl Sosis 7/24 140 G,47.75
Erşan Hindi Füme Dilimli 100 g,49.00000000000001
Riva Tibers Kaşarlı Piliç Salamlı Baton Sandviç 130 g,35.5
Namet Fıstıklı Macar Salam Kg,899.9
Sultan Dilimli Dana Pastırma Kg,1599.9
Polonez Dana Fermente Parmak Sucuk Kg,995.0000000000001
Namet Hindi Füme Jambon Kg,489.9
Maret Geleneksel Kangal Sucuk Kg,679.0
Apikoğlu Klasik Dana Sucuk Kg,1699.0
Namet Hindi Göğüs Füme,739.9
Polonez Biberli Salam,1090.0
Erşan Fıstıklı Salam Kg,599.0
Namet Dilli Salam Kg,1299.9
Namet Blok Tavuk Jambon Kg,449.9
Namet Lüx Antrikot Pastırma Kg,1299.9
Namet Macar Salam Kg,899.9
Polonez Macar Fıstıklı Salam Kg,969.9000000000001
Namet Dana Jambon Kg,999.9
Namet Seçme Dana Pastırma Kg,1179.9
Polonez Füme Piliç 150 G,79.9
Apikoğlu Kavurma 100 Gr,129.9
Apikoğlu Kurutulmuş Dana Füme Et 100 Gr,318.25
Tada Kaşar Salamlı Baton Sandviç 160 g,65.0
Aytaç Dana Sosis 5'li 190 g,162.5
Polonez Hindi Kokteyl Sosis Kg,349.9
Namet Dil Füme Kg,2079.9
Apikoğlu Dana Sucuk Vakumlu 210 G,305.5
Beşler Hünkar Piliç Dilimli Isıl İşlem Görmüş Sucuk 260 G,95.0
Namet Dana Uzun Sosis Kg,599.9
Polonez Sebzeli Tavuk Jambon,534.9
Polonez Dana Etli Fıstıklı Macar Salam,1152.9
Polonez Dana Baton Sucuk,1529.9
Namet Dana Fermente Kangal Sucuk 240 Gr,327.9
Aytaç Şipşak Hindi Salam Dilimli 50 G,19.25
Polonez Dana Barbekü Sosis 500 Gr,467.9
Maret Kangal Sucuk 250 G,238.99999999999997
Mr. No Gurme Mozarella Jambon Üçgen Sandviç 145 Gr,135.0
Apikoğlu Kangal Fermente Sucuk 280 G,399.9
Apikoğlu Dana Jambon,1099.9
Namet Fermente Kangal Sucuk Kg,859.9
Namet Fermente Acılı Kangal Sucuk Kg,859.9
Namet Fermente Parmak Sucuk Kg,859.9
Namet Piliç Füme 150 G,70.5
Aytaç Hindi Mangal Sucuk 280 G,158.9
Polonez Kangal Sucuk 240 G,290.0
Aytaç Hindi Fıstıklı Salam 225 Gr,83.5
Mr. No Gurme Ton Balıklı Üçgen Sandviç 165 Gr,135.0
Polonez Dana Fermente Kangal Sucuk Kg,995.0000000000001
Polonez Çemeni Sıyrılmış Pastırma 75 Gr,245.9
Apikoğlu Çemeni Sıyrılmış Çerezlik Pastırma 100 Gr,288.25
Mr. No Klasik Ton Balıklı Üçgen Sandviç 145 Gr,99.0
Maret Kokteyl Sosis 250 G,206.9
Apikoğlu Dana Parmak Sucuk Kg,1199.9
Mr. No Klasik Kaşar-Salam Üçgen Sandviç 145 Gr,99.0
Apikoğlu Dana Tavalık Sucuk 200 Gr,298.9
Fümeci Kontrafile Füme Kg,2399.9
Fümeci Antrikot Füme Kg,2439.0
Fümeci Dana Cotto Kg,2199.9
Fümeci Kuzu Cotto Kg,2549.9
Fümeci Hindi But Füme Sade Kg,1119.9
Fümeci Hindi But Karabiberli Kg,1179.9
Fümeci Atıştırmalık Et Çubukları Kg,2089.0
Fümeci Dilimli Dana Roastbef Sade Kg,2299.9
Fümeci Dilimli Dana Bresola Kg,2999.9
Fümeci Dana Bacon Kg,2029.9
Fümeci Baton Sucuk Kg,1529.9
Apikoğlu Bratwurst Sosis Kg,1299.9
Apikoğlu Frankfurter Sosis Kg,1299.9
Apikoğlu Kars Gravyerli Sosis Kg,1299.9
Maret Vakumlu Altın Sucuk 250 G,290.0
Mr. No Jambon Cheddar Mega Sandviç 230 G,189.0
Erşan Kangal Sucuk Kg Acılı,739.9
Erşan Kangal Sucuk kg,739.9
Erşan Kuru Et 100 Gr,225.0
Beşler Vakumlu Sucuk 220 G,192.5
Tada Gurme Hindi Füme Sandviç 160 G,120.0
Tada Klasik Ton Balıklı Sandviç 160 G,90.0
Tada Klasik Kaşar Salamlı Sandviç 160 G,90.0
Tada Klasik Üç Peynirli Zeytinli Sandviç 160 G,90.0
Tada Gurme Izgara Tavuklu Pesto Soslu Sandviç  170 G,120.0
Polonez Bradwurst Sosis Kg,1229.9
Torku Blok Kavurma Kg,1399.9
Namet Dilimli Fıstıklı Salam 150 G,172.9
Maret Pratik Hindi Füme 60 G,36.9
Pınar Aç Bitir Macar Salam 60 G,52.25
Mr. No Gurme Teriyaki Soslu Tavuklu Üçgen Sandviç 220 G,145.0
Mr. No Klasik Tavuklu Üçgen Sandviç 145 Gr,99.0
Namet Dana Sosis kg,599.9
Banvit Bi'Dilim Piliç Salam 60 G,19.0
Polonez Macar Salam Kg,969.9000000000001
Polonez Biberli Füme Et (Rosebeef),2349.9
Namet Baton Sucuk Kg,1119.9
Namet Sebzeli Tavuk Jambon,449.9
Fümeci Fermente Kangal Sucuk Kg,1559.9
Fümeci Fermente Dilimli Chorizo Acılı Sucuk Kg,2349.9
Namet Blok Mortadella Salam Kg,1139.9
Namet Hindi Salam Kg,439.9
Aytaç Dana Mangal Fermente Sucuk 350 G,340.25
Başyazıcı Efsane Parmak Sucuk 300 Gr,354.9
Başyazıcı Dana Kangal Sucuk 200 Gr,229.9
Başyazıcı Seçme Pastırma 120 G,330.9
Başyazıcı Fermente Kangal Sucuk Kg,1110.0
Başyazıcı Kavurma Kg,1399.9
Başyazıcı Macar Salam Kg,769.9
Başyazıcı Evlik Sucuk Kg,1110.0
Beşler Kokteyl Sosis 400 Gr,100.9
Polonez Tost Jambon,970.9000000000001
Namet Dilimli Pastırma Çemeni Sıyrılmış 130 G,444.9
Polonez Fıstıklı Hindi Salam,557.9
Polonez Etli Hindi Salam,557.9
Polonez Tavuk Jambon,534.9
Mr. No Gurme Hindi Füme Üçgen Sandviç 145 Gr,135.0
Mr. No Gurme Somon Füme Üçgen Sandviç 145 Gr,145.0
Polonez Füme Et,2349.9
Mr. No Klasik Kaşarlı Üçgen Sandviç 145 Gr,99.0
Polonez Extra Dana Sosis Kg,879.9
Mr. No Klasik İtalyan Salatalı Üçgen Sandviç 145 Gr,99.0
Polonez Kasap Sucuk Kg,1069.9
Aytaç Piliç Kokteyl Sosis 350 G,80.25
Polonez Dana Antrikot Füme Et,2629.9
Polonez Hindi Füme Eti 50 Gr,40.9
Polonez Hindi Fıstıklı Salam 90 Gr,75.9
Polonez  Zeytinyağlı&Kekikli Hindi Füme 150 Gr,79.5
Fümeci Tavuk Füme Göğüs Kg,829.9
Apikoğlu Dilimli Çemensiz Pastırma 90 G,288.9
Sultan Dilim Dana Seçme Pastırma 100 Gr,216.25
Mr.No Dana Bacon Füme Et Sandviç 185 g,155.0
Riva Tibers Çıtır Tavuk Burger 180 g,45.5
Apikoğlu Dana Et Çubukları Atıştırmalık Acılı 110 g,199.9
Apikoğlu Dana Et Çubukları Atıştırmalık 110 g,199.9
Riva Tibers Hindi Fümeli Baton Sandviç 130 g,37.5
Piliç Parmak Isıl İşlem Görmüş Sucuk 400 g,193.25
Piliç Jülyen Sosis 250 g,64.25
Sultan Aç Pişir Dilimli Dana Sucuk 60 g,52.0
Sultan Blok Kavurma kg,1399.9
Pınar İllaki Kasap Dana Kangal Sucuk 300 g,339.5
Başyazıcı Probiyotikli Dana Sucuk 350 g,436.9
Başyazıcı Probiyotikli Dana Pastırma 100 g,262.9
Başyazıcı Probiyotikli Dana Jambon 100 g,142.9
Başyazıcı Probiyotikli Dana Füme Et 100 g,299.9
Mr.No Ezine Peynirli Fresh Sandviç 180 g,155.0
Riva Tibers Bol Peynirli Baton Sandviç 130 g,37.5
Riva Tibers Kaşar Dana Salamlı Sweet Chili Sosuyla Sandviç 145 g,82.75
Riva Tibers Mozzarella Dana Jambonlu Sandviç 145 g,89.0
Polonez Hindi Füme Göğüs Eti Kg,890.0
Polonez Hindi Füme But Eti,899.0000000000001
Polonez Biberli Füme Hindi But Eti,955.0000000000001
Polonez Antrikot Pastırma Kg,1899.9
Torku Acılı Işıl İşlem Görmüş Kangal Sucuk Açık,799.9
Polonez Dana Etli Dilli Salam,1799.9
Yayla Türk Dilimli Göğüs Füme 120 G,163.5
Yayla Türk Karabiberli Hindi But Füme 120 G,163.5
Polonez Dana Füme Et Kg,1639.0
Polonez Kavurma,1799.9
Polonez Elit Pastırma Kg,1199.9
Yayla Türk Kekikli Hindi But Füme 120 G,163.5
Namet Dana Kokteyl Sosis 450 G,312.9
Cumhuriyet Parmak Sucuk Kg,1195.0
Polonez Dana İtalyan Salam,2119.9
Apikoğlu Kuru Et Kg,2799.9
Yaylatürk Yayla Hindi Göğüs Jambon Kg,1159.9
Namet Acılı İşlem Görmüş Kangal Sucuk Kg,899.9
Tada Klasik Kaşarlı Sandviç 160 G,90.0
Polonez Dana Acılı Fermente Kangal Sucuk Kg,995.0000000000001
Pınar Aç Bitir Büyük Dilim Macar Salam 60 G,54.75
Namet Işıl İşlem Görmüş Kangal Sucuk Kg,899.9
Fümeci Sucuk Fıstıklı Hellimli Baton Kg,1539.9
Pınar Aç Bitir Jambon 50 G,58.25
Fümeci Sosis Dana Frankfurter Kg,1279.9
Fümeci Dilimli Hindi Göğüs Füme Kg,1129.9
Fümeci Dilimli Dana Dil Füme Kg,3099.9
Fümeci İtalyan Salam Kg,2089.0
Polonez Dana Dilimli Çemensiz Pastırma Kg,629.9
Polonez Frankfurter Sosis Kg,1229.9
Polonez Dana Füme Kurutulmuş Et Kg,3479.9
Pınar Sucuk Mangal Keyfi Acılı 300 Gr,135.75
Polonez Macar Salam Karabiberli Kg,969.9000000000001
Polonez Acılı Kangal Sucuk,79.9
Polonez Seçme Pastırma,1549.9
Fümeci Kuru Et Baton Kg,2724.0
Fümeci Kafkas Usulü Füme Et Kg,2949.9
Fümeci Sosis Dana Bratwurst Kg,1279.9
Fümeci Sosis Dana Bbq Jalapeno-Ched.Pey. Kg,1359.9
Erşan Seçme Pastırma Kg,679.9
Erşan Kare Kavurma,1099.9
Erşan Füme Et 120 G,175.0
Polonez Parmak Sucuk Acılı Kg,1169.9
Tada Gurme Mozarella Dana Jambonlu Sandviç 160 G,120.0
Polonez Kaburga Füme 80 G,221.75
Tada Dürüm Çiğ Köfte 180 G,45.0
Tada Gurme Teriyaki Soslu Tavlu Şinitzel Sandviç 220 G,120.0
Polonez Dana Kavurma 200 Gr,519.5
Fümeci Dilimli Dana Roasbeef Karabiberli Kg,2329.9
Fümeci Krakova Kg,1079.9
Fümeci Biberli İtalyan Salam Kg,2189.9
Fümeci Gravyerli Sosis Kg,1359.9
Polonez Füme Piliç Göğüs Kg,650.0
Yayla Türk Hindi But İstim Kg,1359.9
Yayla Türk Hindi Göğüs Bütün Füme Kg,1299.9
Yayla Türk Karabiberli Hindi But Füme Kg,1359.9
Polonez Dana İtalyan Sosis Kg,289.9
Namet Dana Füme Kaburga,1699.9
Apikoğlu Dana Kavurma Kg,1999.9
Torku Isıl İşlem Görmüş Kangal Sucuk Açık,799.9
Fümeci Pate 250 G,279.9
Fümeci Smokehouse Cheddarlı Bratwurst Sosis kg,1359.9
Fümeci Frankfurter Emmentalli Sosis Kg,1359.9
Namet Dana Etli Salam Kg,1139.9
Fümeci Wasabi&Cheddarlı Sosis Kg,819.9
Aytaç Şipşak Macar Salam Fıstıklı 60 G,46.9
Fümeci Parmesanlı İtalyan Salam Kg,1469.9
Pınar Hindi Göğüs Füme 110 G,67.9
Erşan Hindi Et Salam Kg,317.9
Başyazıcı Antrikot Pastırma Kg,1199.9
Başyazıcı Eğrice Pastırma Kg,199.9
Polonez Füme Dil,969.9
Mr. No Fit Tavuklu Pestolu Sandviç 185 Gr,104.9
Dardanel Mr No Fit Ton Balıklı 165 Gr,104.9
Yayla Türk Tavuk Göğüs Bütün Füme Kg,1079.9
Namet Parmak Sucuk Kg,85.9
Polonez Dilimli Çemenli Seçme Pastırma Kg,499.9
Tada Tavuk Fümeli Baton Sandviç 160 g,65.0
Mr.No Çikolata Ve Orman Meyveli Dogulu Sandviç 60 g,34.9
Mr.No Limonlu Chesecake Dolgulu Sandviç 60 g,34.9
Erşan Dana Bacon 100 g,157.5
Başyazıcı Probiyotikli Dana Salam 100 g,90.5
Başyazıcı Probiyotikli Dana Kokteyl Sosis 350 g,323.9
Aytaç Hindi Salam 500 Gr,137.9
Banvit Piliç Kokteyl Sosis 500 g,102.5
Mr.No Tavuk Dürüm 135 g,75.0
Mr.No Kruvasan 100 g,99.9
Mr.No Humus Klasik Kıtır Ekmekli 130 g,74.9
